期号,开奖日期,前区号码,后区号码
25011,2025-01-25,"03 06 07 11 27","02 08"
25012,2025-02-08,"02 18 19 21 25","02 11"
25013,2025-02-10,"14 16 18 20 35","02 05"
25014,2025-02-12,"05 19 22 29 35","02 10"
25015,2025-02-15,"07 10 24 31 35","01 08"
25016,2025-02-17,"05 07 12 20 29","08 12"
25017,2025-02-19,"10 12 26 28 31","03 10"
25018,2025-02-22,"01 07 09 20 28","01 04"
25019,2025-02-24,"07 08 11 18 23","03 11"
25020,2025-02-26,"01 09 12 22 29","05 09"
25021,2025-03-01,"10 18 25 30 35","03 12"
25022,2025-03-03,"01 11 13 27 29","04 10"
25023,2025-03-05,"10 20 22 24 25","09 12"
25024,2025-03-08,"06 12 13 16 23","05 08"
25025,2025-03-10,"03 06 08 10 25","03 07"
25026,2025-03-12,"02 03 07 17 30","01 09"
25027,2025-03-15,"03 06 11 13 20","01 11"
25028,2025-03-17,"06 08 20 25 29","03 07"
25029,2025-03-19,"05 09 26 31 33","03 10"
25030,2025-03-22,"03 09 14 24 28","06 07"
25031,2025-03-24,"14 18 20 25 35","01 07"
25032,2025-03-26,"12 22 25 27 28","01 02"
25033,2025-03-29,"01 02 08 10 33","10 12"
25034,2025-03-31,"04 15 22 28 33","06 08"
25035,2025-04-02,"22 25 28 29 30","04 08"
25036,2025-04-05,"04 07 13 27 30","02 06"
25037,2025-04-07,"05 20 23 27 31","04 06"
25038,2025-04-09,"07 08 20 26 34","08 09"
25039,2025-04-12,"03 07 14 15 19","06 10"
25040,2025-04-14,"02 08 16 31 32","04 12"
25041,2025-04-16,"03 04 21 22 27","05 11"
25042,2025-04-19,"06 08 11 18 20","05 11"
25043,2025-04-21,"03 16 20 21 27","09 11"
25044,2025-04-23,"15 17 21 22 26","02 08"
25045,2025-04-26,"08 11 21 23 27","03 08"
25046,2025-04-28,"04 10 15 20 34","04 07"
25047,2025-04-30,"03 10 11 12 21","02 03"
25048,2025-05-03,"02 06 17 23 35","06 11"
25049,2025-05-05,"09 20 22 29 34","03 08"
25050,2025-05-07,"15 18 20 21 34","04 10"
25051,2025-05-10,"02 04 13 29 31","05 12"
25052,2025-05-12,"02 04 11 29 30","02 08"
25053,2025-05-14,"14 23 29 30 33","06 12"
25054,2025-05-17,"03 12 16 21 29","01 02"
25055,2025-05-19,"08 10 25 29 30","01 02"
25056,2025-05-21,"12 15 28 29 32","08 11"
25057,2025-05-24,"09 10 11 12 29","01 10"
25058,2025-05-26,"06 11 15 21 23","01 07"
25059,2025-05-28,"03 09 10 11 26","01 02"
25060,2025-05-31,"12 14 19 33 34","01 07"
25061,2025-06-02,"02 11 16 23 28","05 10"
25062,2025-06-04,"14 20 27 28 29","06 10"
25063,2025-06-07,"05 18 26 29 32","07 10"
25064,2025-06-09,"05 10 18 20 34","01 08"
25065,2025-06-11,"07 25 32 33 35","04 09"
25066,2025-06-14,"15 18 27 28 34","03 06"
25067,2025-06-16,"06 10 12 21 22","01 06"
25068,2025-06-18,"01 04 17 20 22","04 10"
25069,2025-06-21,"04 06 07 33 34","09 10"
25070,2025-06-23,"08 09 15 20 22","04 12"
25071,2025-06-25,"01 08 25 31 33","05 11"
25072,2025-06-28,"04 07 15 24 29","01 04"
25073,2025-06-30,"01 04 17 33 34","03 09"
25074,2025-07-02,"02 11 15 18 21","05 10"
25075,2025-07-05,"08 12 16 19 35","06 09"
25076,2025-07-07,"11 18 22 25 29","04 12"
25077,2025-07-09,"12 14 16 19 28","01 04"
25078,2025-07-12,"07 10 15 21 24","05 06"
25079,2025-07-14,"02 14 32 34 35","05 11"
25080,2025-07-16,"09 10 18 22 24","03 12"
25081,2025-07-19,"01 04 06 15 18","02 03"
25082,2025-07-21,"02 03 04 12 26","01 08"
25083,2025-07-23,"12 17 18 20 34","02 05"
25084,2025-07-26,"09 11 13 18 29","04 11"
25085,2025-07-28,"02 05 09 14 33","04 09"
25086,2025-07-30,"02 06 23 24 33","01 10"
25087,2025-08-02,"05 13 14 16 20","03 08"
25088,2025-08-04,"08 09 10 11 35","05 11"
25089,2025-08-06,"02 11 12 32 34","03 10"
25090,2025-08-09,"06 14 19 22 27","01 04"
25091,2025-08-11,"01 19 22 25 27","03 10"
25092,2025-08-13,"04 10 17 25 32","05 07"
25093,2025-08-16,"01 07 09 16 30","02 05"
25094,2025-08-18,"04 09 17 30 33","05 09"
25095,2025-08-20,"07 13 14 19 27","06 10"
25096,2025-08-23,"02 11 17 22 24","07 09"
25097,2025-08-25,"05 24 25 32 34","01 09"
25098,2025-08-27,"01 07 09 10 23","10 12"
25099,2025-08-30,"06 12 20 26 31","02 04"
25100,2025-09-01,"26 28 32 34 35","02 07"
25101,2025-09-03,"05 07 19 26 32","08 09"
25102,2025-09-06,"09 10 13 26 28","02 04"
25103,2025-09-08,"05 08 19 32 34","04 05"
25104,2025-09-10,"02 06 09 22 34","02 08"
25105,2025-09-13,"15 16 25 28 34","10 12"
25106,2025-09-15,"05 06 11 26 29","05 10"
25107,2025-09-17,"05 07 08 15 33","06 10"
25108,2025-09-20,"14 18 21 24 29","03 06"
25109,2025-09-22,"04 08 10 13 26","09 10"
25110,2025-09-24,"01 15 22 30 31","02 08"
25111,2025-09-27,"02 09 14 21 26","02 12"
25112,2025-09-29,"03 04 21 23 24","09 12"
25113,2025-10-06,"01 14 18 28 35","02 03"
25114,2025-10-08,"03 08 09 12 16","01 05"
25115,2025-10-11,"03 12 14 21 35","01 05"
25116,2025-10-13,"02 06 16 22 29","08 12"
25117,2025-10-15,"05 10 18 21 29","05 07"
25118,2025-10-18,"02 08 09 12 21","04 05"
25119,2025-10-20,"08 15 27 29 31","01 07"
25120,2025-10-22,"11 13 22 26 35","02 08"
25121,2025-10-25,"02 03 08 13 21","07 12"
25122,2025-10-27,"02 03 06 16 17","04 05"
25123,2025-10-29,"08 13 24 25 31","04 10"
25124,2025-11-01,"06 09 14 26 27","08 09"
25125,2025-11-03,"10 11 13 19 35","04 11"
25126,2025-11-05,"01 08 18 27 30","06 07"
25127,2025-11-08,"04 05 19 28 29","05 08"
25128,2025-11-10,"03 06 26 30 33","11 12"
25129,2025-11-12,"03 09 14 28 35","02 04"
25130,2025-11-15,"01 13 16 27 29","02 11"
25131,2025-11-17,"03 08 25 29 32","09 12"
25132,2025-11-19,"01 09 10 12 19","06 07"
25133,2025-11-22,"04 11 23 27 35","07 11"
25134,2025-11-24,"07 12 18 27 33","09 10"
25135,2025-11-26,"02 10 16 28 32","01 07"
25136,2025-11-29,"07 11 15 16 23","09 11"
25137,2025-12-01,"07 08 09 11 22","05 11"
25138,2025-12-03,"01 03 19 21 23","07 11"
25139,2025-12-06,"08 18 22 30 35","01 04"
25140,2025-12-08,"04 05 13 18 34","02 08"
25141,2025-12-10,"04 09 24 28 29","02 10"
25142,2025-12-13,"09 10 14 27 29","02 09"
25143,2025-12-15,"03 04 18 24 29","07 12"
25144,2025-12-17,"02 05 13 15 28","05 08"
25145,2025-12-20,"05 07 20 22 25","04 05"
25146,2025-12-22,"06 11 13 16 22","02 03"
25147,2025-12-24,"06 16 21 25 33","07 08"
25148,2025-12-27,"03 04 14 30 32","08 12"
25149,2025-12-29,"24 26 30 31 32","05 12"
25150,2025-12-31,"13 14 15 28 31","01 05"
26001,2026-01-03,"07 09 23 27 32","02 08"
26002,2026-01-05,"04 08 15 20 31","07 08"
26003,2026-01-07,"02 09 11 15 16","02 04"
26004,2026-01-10,"05 18 23 25 32","05 09"
26005,2026-01-12,"02 04 16 23 35","06 11"
26006,2026-01-14,"05 12 18 23 35","06 12"
26007,2026-01-17,"01 03 13 20 26","03 10"
26008,2026-01-19,"03 06 17 21 33","05 11"
26009,2026-01-21,"05 12 13 14 33","05 08"
26010,2026-01-24,"02 03 13 18 26","02 09"
26011,2026-01-26,"14 21 23 29 33","02 10"
26012,2026-01-28,"01 02 09 22 25","01 06"
26013,2026-01-31,"03 05 06 23 26","01 04"
26014,2026-02-02,"16 18 23 34 35","01 06"
26015,2026-02-04,"01 04 10 13 17","03 11"
26016,2026-02-07,"08 09 12 19 24","01 06"
26017,2026-02-09,"04 05 10 23 31","07 12"
26018,2026-02-11,"09 11 19 30 35","01 12"
26019,2026-02-25,"12 13 14 16 31","04 12"
26020,2026-02-28,"01 10 21 23 29","10 12"
26021,2026-03-02,"05 08 12 14 17","04 05"
26022,2026-03-04,"05 09 10 18 26","05 06"
26023,2026-03-07,"09 25 26 27 28","01 08"
26024,2026-03-09,"02 04 08 10 21","09 12"
26025,2026-03-11,"03 15 24 28 29","03 07"
26026,2026-03-14,"10 11 22 26 32","01 08"
26027,2026-03-16,"09 10 11 12 16","01 11"
26028,2026-03-18,"15 27 29 30 34","01 10"
26029,2026-03-21,"03 05 17 33 35","05 07"
26030,2026-03-23,"02 13 22 28 34","05 12"
26031,2026-03-25,"06 08 22 29 34","05 07"
26032,2026-03-28,"03 04 19 26 32","01 12"
26033,2026-03-30,"03 05 07 09 18","02 10"
26034,2026-04-01,"11 12 25 26 27","08 11"
26035,2026-04-04,"02 22 30 33 34","08 12"
26036,2026-04-06,"04 07 16 26 32","05 08"
26037,2026-04-08,"07 12 13 28 32","06 08"
26038,2026-04-11,"08 17 21 33 35","06 07"
26039,2026-04-13,"09 11 20 26 27","06 09"
26040,2026-04-15,"06 12 13 21 34","08 09"
26041,2026-04-18,"24 25 27 29 34","02 06"
26042,2026-04-20,"02 07 13 19 24","03 08"
26043,2026-04-22,"08 12 14 19 22","11 12"
26044,2026-04-25,"03 08 22 26 29","07 10"
26045,2026-04-27,"01 15 21 26 33","04 07"
26046,2026-04-29,"01 13 18 27 33","04 07"
26047,2026-05-02,"09 20 21 23 28","06 11"
26048,2026-05-04,"11 17 20 23 35","01 10"
26049,2026-05-06,"01 06 14 15 17","02 03"
26050,2026-05-09,"06 10 14 23 33","08 10"
26051,2026-05-11,"13 18 28 32 33","02 11"
26052,2026-05-13,"02 03 20 28 33","02 12"
26053,2026-05-16,"02 09 14 20 31","05 09"
26054,2026-05-18,"02 06 14 22 24","08 11"
26055,2026-05-20,"09 10 20 33 35","04 11"
26056,2026-05-23,"06 07 18 21 30","01 05"
26057,2026-05-25,"23 25 26 27 34","04 10"
26058,2026-05-27,"07 12 13 18 34","01 05"
26059,2026-05-30,"06 13 17 19 26","07 08"
26060,2026-06-01,"22 28 30 31 34","01 05"
26061,2026-06-03,"10 12 26 31 35","02 12"
26062,2026-06-06,"07 15 20 24 29","04 10"
26063,2026-06-08,"03 15 20 29 31","01 12"
26064,2026-06-10,"03 13 15 17 21","02 07"
26065,2026-06-13,"04 11 12 13 25","04 08"
26066,2026-06-15,"10 13 19 21 30","04 05"
26067,2026-06-17,"06 16 18 19 28","07 11"
26068,2026-06-20,"03 11 12 21 22","06 10"
26069,2026-06-22,"12 19 21 24 29","03 10"
26070,2026-06-24,"04 05 15 21 32","02 11"
26071,2026-06-27,"05 13 22 26 32","02 03"
26072,2026-06-29,"01 13 26 29 30","09 11"
26073,2026-07-01,"04 10 22 23 33","02 12"
26074,2026-07-04,"01 04 10 23 25","01 12"
26075,2026-07-06,"01 06 16 18 26","04 10"
26076,2026-07-08,"15 20 27 28 35","02 11"
26077,2026-07-11,"04 14 19 24 27","06 07"
26078,2026-07-13,"02 13 20 25 32","08 11"
26079,2026-07-15,"06 08 23 26 27","05 12"
26080,2026-07-18,"05 10 15 21 23","07 08"
26081,2026-07-20,"08 16 18 24 34","09 12"
26082,2026-07-22,"16 26 27 28 34","02 06"
26083,2026-07-25,"14 15 16 23 26","07 09"
26084,2026-07-27,"13 25 30 32 33","04 05"
26085,2026-07-29,"03 04 14 28 31","05 07"
26086,2026-08-01,"10 11 18 22 35","06 12"
26087,2026-08-03,"05 10 16 24 27","04 10"
26088,2026-08-05,"03 09 11 24 27","05 11"
26089,2026-08-08,"03 07 12 14 26","05 11"
26090,2026-08-10,"09 14 17 19 24","02 09"
26091,2026-08-12,"03 04 07 12 32","01 02"
26092,2026-08-15,"12 16 19 29 33","07 09"
26093,2026-08-17,"08 10 22 26 29","03 10"
26094,2026-08-19,"05 14 15 17 33","01 07"
26095,2026-08-22,"04 06 08 10 14","04 05"
26096,2026-08-24,"08 09 10 11 25","04 12"
26097,2026-08-26,"03 10 12 20 25","01 09"
26098,2026-08-29,"07 09 18 19 21","02 09"
26099,2026-08-31,"02 17 20 29 33","08 09"
26100,2026-09-02,"02 06 11 15 31","07 08"
26101,2026-09-05,"09 11 18 26 33","09 11"
26102,2026-09-07,"01 03 07 27 28","06 07"
26103,2026-09-09,"03 16 17 32 35","02 12"
26104,2026-09-12,"01 06 14 15 26","08 09"
26105,2026-09-14,"10 14 30 33 34","09 12"
